caldt,t30ret
1957-01-31,0.002586
1957-02-28,0.002389
1957-03-29,0.002311
1957-04-30,0.002690
1957-05-31,0.002581
1957-06-27,0.002410
1957-07-31,0.002950
1957-08-30,0.002520
1957-09-30,0.002568
1957-10-31,0.002590
1957-11-29,0.002767
1957-12-31,0.002485
1958-01-31,0.002213
1958-02-28,0.001207
1958-03-31,0.000944
1958-04-30,0.000840
1958-05-29,0.001093
1958-06-30,0.000297
1958-07-31,0.000582
1958-08-29,0.000448
1958-09-30,0.001774
1958-10-31,0.001427
1958-11-28,0.001089
1958-12-31,0.002148
1959-01-30,0.002051
1959-02-27,0.001882
1959-03-31,0.002153
1959-04-30,0.001941
1959-05-29,0.002189
1959-06-30,0.002519
1959-07-31,0.002192
1959-08-31,0.001861
1959-09-30,0.002915
1959-10-30,0.003015
1959-11-30,0.002554
1959-12-31,0.002525
1960-01-29,0.003318
1960-02-29,0.002863
1960-03-31,0.003240
1960-04-29,0.001944
1960-05-31,0.002699
1960-06-30,0.001920
1960-07-29,0.001330
1960-08-31,0.001632
1960-09-30,0.001578
1960-10-31,0.002156
1960-11-30,0.001293
1960-12-30,0.001553
1961-01-31,0.001940
1961-02-28,0.001649
1961-03-30,0.002012
1961-04-28,0.001746
1961-05-31,0.001774
1961-06-30,0.002008
1961-07-31,0.001824
1961-08-31,0.001358
1961-09-29,0.001677
1961-10-31,0.001921
1961-11-30,0.001607
1961-12-29,0.001864
1962-01-31,0.002348
1962-02-28,0.001989
1962-03-30,0.002007
1962-04-30,0.002278
1962-05-31,0.002296
1962-06-29,0.001937
1962-07-31,0.002727
1962-08-31,0.002180
1962-09-28,0.002072
1962-10-31,0.002533
1962-11-30,0.002021
1962-12-31,0.002519
1963-01-31,0.002512
1963-02-28,0.002260
1963-03-29,0.002262
1963-04-30,0.002661
1963-05-31,0.002430
1963-06-28,0.002282
1963-07-31,0.002784
1963-08-30,0.002484
1963-09-30,0.002755
1963-10-31,0.002919
1963-11-29,0.002659
1963-12-31,0.003060
1964-01-31,0.002866
1964-02-28,0.002636
1964-03-31,0.003298
1964-04-30,0.002904
1964-05-28,0.002570
1964-06-30,0.003136
1964-07-31,0.002808
1964-08-31,0.002772
1964-09-30,0.002686
1964-10-30,0.002997
1964-11-30,0.002915
1964-12-31,0.003040
1965-01-29,0.002915
1965-02-26,0.003198
1965-03-31,0.003486
1965-04-30,0.003118
1965-05-28,0.003283
1965-06-30,0.003380
1965-07-30,0.003218
1965-08-31,0.003309
1965-09-30,0.003114
1965-10-29,0.003391
1965-11-30,0.003380
1965-12-31,0.003126
1966-01-31,0.003630
1966-02-28,0.003481
1966-03-31,0.003795
1966-04-29,0.003638
1966-05-31,0.004043
1966-06-30,0.003672
1966-07-29,0.003847
1966-08-31,0.004119
1966-09-30,0.003890
1966-10-31,0.004389
1966-11-30,0.003932
1966-12-30,0.003630
1967-01-31,0.003927
1967-02-28,0.003743
1967-03-31,0.003693
1967-04-28,0.003344
1967-05-31,0.003126
1967-06-30,0.002674
1967-07-31,0.003153
1967-08-31,0.003240
1967-09-29,0.003177
1967-10-31,0.003649
1967-11-30,0.003416
1967-12-29,0.003565
1968-01-31,0.003934
1968-02-29,0.003849
1968-03-29,0.003977
1968-04-30,0.004263
1968-05-31,0.004672
1968-06-28,0.004436
1968-07-31,0.004790
1968-08-30,0.004476
1968-09-30,0.004203
1968-10-31,0.004394
1968-11-29,0.004457
1968-12-31,0.004249
1969-01-31,0.005025
1969-02-28,0.004619
1969-03-28,0.004802
1969-04-30,0.004859
1969-05-29,0.005215
1969-06-30,0.005137
1969-07-31,0.005520
1969-08-29,0.005890
1969-09-30,0.005856
1969-10-31,0.005724
1969-11-28,0.005509
1969-12-31,0.005846
1970-01-30,0.005781
1970-02-27,0.006167
1970-03-31,0.005542
1970-04-30,0.005286
1970-05-29,0.005546
1970-06-30,0.005546
1970-07-31,0.004886
1970-08-31,0.005020
1970-09-30,0.005034
1970-10-30,0.004954
1970-11-30,0.004489
1970-12-31,0.003786
1971-01-29,0.003777
1971-02-26,0.003344
1971-03-31,0.002924
1971-04-30,0.002804
1971-05-28,0.003127
1971-06-30,0.003505
1971-07-30,0.004272
1971-08-31,0.004446
1971-09-30,0.003630
1971-10-29,0.003855
1971-11-30,0.003506
1971-12-31,0.003152
1972-01-31,0.002850
1972-02-29,0.002659
1972-03-30,0.002590
1972-04-28,0.002962
1972-05-31,0.002942
1972-06-30,0.002800
1972-07-31,0.003084
1972-08-31,0.002988
1972-09-29,0.003546
1972-10-31,0.003891
1972-11-30,0.003739
1972-12-29,0.004185
1973-01-31,0.004410
1973-02-28,0.004277
1973-03-30,0.004750
1973-04-30,0.005002
1973-05-31,0.005098
1973-06-29,0.005379
1973-07-31,0.006540
1973-08-31,0.006855
1973-09-28,0.006749
1973-10-31,0.006856
1973-11-30,0.005529
1973-12-31,0.006961
1974-01-31,0.006274
1974-02-28,0.005819
1974-03-29,0.005677
1974-04-30,0.007949
1974-05-31,0.007235
1974-06-28,0.006892
1974-07-31,0.006756
1974-08-30,0.005940
1974-09-30,0.007997
1974-10-31,0.005254
1974-11-29,0.005139
1974-12-31,0.007009
1975-01-31,0.005387
1975-02-28,0.004326
1975-03-31,0.004014
1975-04-30,0.004489
1975-05-30,0.004869
1975-06-30,0.004133
1975-07-31,0.004811
1975-08-29,0.004815
1975-09-30,0.005575
1975-10-31,0.005185
1975-11-28,0.004127
1975-12-31,0.004983
1976-01-30,0.004402
1976-02-27,0.003452
1976-03-31,0.004344
1976-04-30,0.004440
1976-05-28,0.004124
1976-06-30,0.004446
1976-07-30,0.004390
1976-08-31,0.004745
1976-09-30,0.003924
1976-10-29,0.004092
1976-11-30,0.004440
1976-12-31,0.003579
1977-01-31,0.003594
1977-02-28,0.003499
1977-03-31,0.003769
1977-04-29,0.004114
1977-05-31,0.003855
1977-06-30,0.003716
1977-07-29,0.003873
1977-08-31,0.004993
1977-09-30,0.004330
1977-10-31,0.004943
1977-11-30,0.004959
1977-12-30,0.004700
1978-01-31,0.005374
1978-02-28,0.004941
1978-03-31,0.005017
1978-04-28,0.005712
1978-05-31,0.005317
1978-06-30,0.005369
1978-07-31,0.005591
1978-08-31,0.005550
1978-09-29,0.005964
1978-10-31,0.007498
1978-11-30,0.007041
1978-12-29,0.007372
1979-01-31,0.007882
1979-02-28,0.007324
1979-03-30,0.008928
1979-04-30,0.008489
1979-05-31,0.008161
1979-06-29,0.007858
1979-07-31,0.008410
1979-08-31,0.007506
1979-09-28,0.007732
1979-10-31,0.009621
1979-11-30,0.009878
1979-12-31,0.010209
1980-01-31,0.007968
1980-02-29,0.010654
1980-03-31,0.012009
1980-04-30,0.012865
1980-05-30,0.007883
1980-06-30,0.006312
1980-07-31,0.005281
1980-08-29,0.005973
1980-09-30,0.008698
1980-10-31,0.008912
1980-11-28,0.008895
1980-12-31,0.014149
1981-01-30,0.009957
1981-02-27,0.010685
1981-03-31,0.013157
1981-04-30,0.010756
1981-05-29,0.010646
1981-06-30,0.015158
1981-07-31,0.011915
1981-08-31,0.012804
1981-09-30,0.012794
1981-10-30,0.011685
1981-11-30,0.011030
1981-12-31,0.008738
1982-01-29,0.007306
1982-02-26,0.009176
1982-03-31,0.011077
1982-04-30,0.011290
1982-05-28,0.009592
1982-06-30,0.010710
1982-07-30,0.010210
1982-08-31,0.008342
1982-09-30,0.005118
1982-10-29,0.005475
1982-11-30,0.007201
1982-12-31,0.006289
1983-01-31,0.006864
1983-02-28,0.006186
1983-03-31,0.006326
1983-04-29,0.006918
1983-05-31,0.007584
1983-06-30,0.006661
1983-07-29,0.006917
1983-08-31,0.008342
1983-09-30,0.007607
1983-10-31,0.007433
1983-11-30,0.007199
1983-12-30,0.007039
1984-01-31,0.008083
1984-02-29,0.007328
1984-03-30,0.007280
1984-04-30,0.008130
1984-05-31,0.007898
1984-06-29,0.007534
1984-07-31,0.008755
1984-08-31,0.007963
1984-09-28,0.008293
1984-10-31,0.009766
1984-11-30,0.007334
1984-12-31,0.006923
1985-01-31,0.006474
1985-02-28,0.006033
1985-03-29,0.006160
1985-04-30,0.007565
1985-05-31,0.006062
1985-06-28,0.005546
1985-07-31,0.006196
1985-08-30,0.005792
1985-09-30,0.006049
1985-10-31,0.006021
1985-11-29,0.006156
1985-12-31,0.006139
1986-01-31,0.004865
1986-02-28,0.005296
1986-03-31,0.005963
1986-04-30,0.005341
1986-05-30,0.004934
1986-06-30,0.005246
1986-07-31,0.005011
1986-08-29,0.004614
1986-09-30,0.004783
1986-10-31,0.004209
1986-11-28,0.003924
1986-12-31,0.004767
1987-01-30,0.004151
1987-02-27,0.004309
1987-03-31,0.005012
1987-04-30,0.004285
1987-05-29,0.003760
1987-06-30,0.005031
1987-07-31,0.004058
1987-08-31,0.004744
1987-09-30,0.004820
1987-10-30,0.006040
1987-11-30,0.003366
1987-12-31,0.002988
1988-01-29,0.002762
1988-02-29,0.004564
1988-03-31,0.004402
1988-04-29,0.004577
1988-05-31,0.005051
1988-06-30,0.004832
1988-07-29,0.005060
1988-08-31,0.005957
1988-09-30,0.006145
1988-10-31,0.006074
1988-11-30,0.005742
1988-12-30,0.006306
1989-01-31,0.005766
1989-02-28,0.006110
1989-03-31,0.006213
1989-04-28,0.006810
1989-05-31,0.008006
1989-06-30,0.007147
1989-07-31,0.007040
1989-08-31,0.006684
1989-09-29,0.006387
1989-10-31,0.006820
1989-11-30,0.006340
1989-12-29,0.005941
1990-01-31,0.005852
1990-02-28,0.005818
1990-03-30,0.006380
1990-04-30,0.006829
1990-05-31,0.006404
1990-06-29,0.005898
1990-07-31,0.006704
1990-08-31,0.006154
1990-09-28,0.005984
1990-10-31,0.006559
1990-11-30,0.005651
1990-12-31,0.005989
1991-01-31,0.004637
1991-02-28,0.004767
1991-03-28,0.004391
1991-04-30,0.005335
1991-05-31,0.004461
1991-06-28,0.004171
1991-07-31,0.004840
1991-08-30,0.004610
1991-09-30,0.004558
1991-10-31,0.004246
1991-11-29,0.003915
1991-12-31,0.003792
1992-01-31,0.003059
1992-02-28,0.002828
1992-03-31,0.003376
1992-04-30,0.003303
1992-05-29,0.002758
1992-06-30,0.003201
1992-07-31,0.002892
1992-08-31,0.002605
1992-09-30,0.002573
1992-10-30,0.002286
1992-11-30,0.002346
1992-12-31,0.002270
1993-01-29,0.002335
1993-02-26,0.002209
1993-03-31,0.002538
1993-04-30,0.002372
1993-05-28,0.002168
1993-06-30,0.002756
1993-07-30,0.002402
1993-08-31,0.002530
1993-09-30,0.002356
1993-10-29,0.002210
1993-11-30,0.002477
1993-12-31,0.002263
1994-01-31,0.002503
1994-02-28,0.002120
1994-03-31,0.002469
1994-04-29,0.002711
1994-05-31,0.003150
1994-06-30,0.003118
1994-07-29,0.002751
1994-08-31,0.003687
1994-09-30,0.003659
1994-10-31,0.003840
1994-11-30,0.003691
1994-12-30,0.004430
1995-01-31,0.004156
1995-02-28,0.003983
1995-03-31,0.004134
1995-04-28,0.004450
1995-05-31,0.005355
1995-06-30,0.004714
1995-07-31,0.004522
1995-08-31,0.004637
1995-09-29,0.004309
1995-10-31,0.004714
1995-11-30,0.004108
1995-12-29,0.004882
1996-01-31,0.004278
1996-02-29,0.003908
1996-03-29,0.003943
1996-04-30,0.004579
1996-05-31,0.003982
1996-06-28,0.004000
1996-07-31,0.004497
1996-08-30,0.004122
1996-09-30,0.004375
1996-10-31,0.004246
1996-11-29,0.003941
1996-12-31,0.004404
1997-01-31,0.004014
1997-02-28,0.003788
1997-03-31,0.004310
1997-04-30,0.004313
1997-05-30,0.004263
1997-06-30,0.003744
1997-07-31,0.004294
1997-08-29,0.004058
1997-09-30,0.004576
1997-10-31,0.003911
1997-11-28,0.003773
1997-12-31,0.004629
1998-01-30,0.004204
1998-02-27,0.003847
1998-03-31,0.004485
1998-04-30,0.004308
1998-05-29,0.003805
1998-06-30,0.004021
1998-07-31,0.003873
1998-08-31,0.004012
1998-09-30,0.003875
1998-10-30,0.003353
1998-11-30,0.003233
1998-12-31,0.003779
1999-01-29,0.003494
1999-02-26,0.003372
1999-03-31,0.004076
1999-04-30,0.003784
1999-05-28,0.003463
1999-06-30,0.004098
1999-07-30,0.003658
1999-08-31,0.003876
1999-09-30,0.003705
1999-10-29,0.003581
1999-11-30,0.003811
1999-12-31,0.003764
2000-01-31,0.004343
2000-02-29,0.004295
2000-03-31,0.004377
2000-04-28,0.004595
2000-05-31,0.004782
2000-06-30,0.003744
2000-07-31,0.004772
2000-08-31,0.005002
2000-09-29,0.005093
2000-10-31,0.005217
2000-11-30,0.004966
2000-12-29,0.004909
2001-01-31,0.005243
2001-02-28,0.003653
2001-03-30,0.004320
2001-04-30,0.003864
2001-05-31,0.003183
2001-06-29,0.002778
2001-07-31,0.002999
2001-08-31,0.002996
2001-09-28,0.002730
2001-10-31,0.002154
2001-11-30,0.001749
2001-12-31,0.001484
2002-01-31,0.001390
2002-02-28,0.001285
2002-03-28,0.001341
2002-04-30,0.001546
2002-05-31,0.001442
2002-06-28,0.001312
2002-07-31,0.001507
2002-08-30,0.001402
2002-09-30,0.001414
2002-10-31,0.001334
2002-11-29,0.001166
2002-12-31,0.001079
2003-01-31,0.000934
2003-02-28,0.000871
2003-03-31,0.001020
2003-04-30,0.000939
2003-05-30,0.000903
2003-06-30,0.000984
2003-07-31,0.000674
2003-08-29,0.000689
2003-09-30,0.000865
2003-10-31,0.000700
2003-11-28,0.000725
2003-12-31,0.000831
2004-01-30,0.000696
2004-02-27,0.000623
2004-03-31,0.000844
2004-04-30,0.000795
2004-05-28,0.000603
2004-06-30,0.000817
2004-07-30,0.000919
2004-08-31,0.001116
2004-09-30,0.001185
2004-10-29,0.001129
2004-11-30,0.001541
2004-12-31,0.001672
2005-01-31,0.001661
2005-02-28,0.001641
2005-03-31,0.002123
2005-04-29,0.002072
2005-05-31,0.002395
2005-06-30,0.002263
2005-07-29,0.002383
2005-08-31,0.002920
2005-09-30,0.002848
2005-10-31,0.002728
2005-11-30,0.003045
2005-12-30,0.003160
2006-01-31,0.003488
2006-02-28,0.003322
2006-03-31,0.003642
2006-04-28,0.003559
2006-05-31,0.004195
2006-06-30,0.003970
2006-07-31,0.003976
2006-08-31,0.004283
2006-09-29,0.004047
2006-10-31,0.004076
2006-11-30,0.004243
2006-12-29,0.004036
2007-01-31,0.004328
2007-02-28,0.003837
2007-03-30,0.004257
2007-04-30,0.004348
2007-05-31,0.004046
2007-06-29,0.003918
2007-07-31,0.003962
2007-08-31,0.004205
2007-09-28,0.003347
2007-10-31,0.003212
2007-11-30,0.003395
2007-12-31,0.002921
2008-01-31,0.002430
2008-02-29,0.001325
2008-03-31,0.001869
2008-04-30,0.001025
2008-05-30,0.000946
2008-06-30,0.001750
2008-07-31,0.001440
2008-08-29,0.001282
2008-09-30,0.001530
2008-10-31,0.000792
2008-11-28,0.000228
2008-12-31,0.000029
2009-01-30,0.000023
2009-02-27,0.000147
2009-03-31,0.000159
2009-04-30,0.000125
2009-05-29,0.000017
2009-06-30,0.000075
2009-07-31,0.000119
2009-08-31,0.000116
2009-09-30,0.000079
2009-10-30,0.000040
2009-11-30,0.000004
2009-12-31,0.000062
2010-01-29,0.000028
2010-02-26,0.000010
2010-03-31,0.000068
2010-04-30,0.000111
2010-05-28,0.000112
2010-06-30,0.000127
2010-07-30,0.000142
2010-08-31,0.000126
2010-09-30,0.000125
2010-10-29,0.000112
2010-11-30,0.000114
2010-12-31,0.000140
2011-01-31,0.000066
2011-02-28,0.000122
2011-03-31,0.000067
2011-04-29,0.000053
2011-05-31,0.000013
2011-06-30,0.000035
2011-07-29,-0.000028
2011-08-31,0.000083
2011-09-30,-0.000001
2011-10-31,0.000014
2011-11-30,0.000004
2011-12-30,0.000000
2012-01-31,-0.000002
2012-02-29,0.000031
2012-03-30,0.000046
2012-04-30,0.000029
2012-05-31,0.000065
2012-06-29,0.000022
2012-07-31,0.000032
2012-08-31,0.000050
2012-09-28,0.000067
2012-10-31,0.000037
2012-11-30,0.000085
2012-12-31,0.000103
2013-01-31,0.000022
2013-02-28,0.000054
2013-03-28,0.000041
2013-04-30,0.000037
2013-05-31,0.000012
2013-06-28,0.000013
2013-07-31,0.000009
2013-08-30,0.000009
2013-09-30,0.000008
2013-10-31,0.000017
2013-11-29,0.000032
2013-12-31,0.000023
2014-01-31,0.000012
2014-02-28,0.000045
2014-03-31,0.000028
2014-04-30,0.000015
2014-05-30,0.000008
2014-06-30,0.000020
2014-07-31,0.000013
2014-08-29,0.000003
2014-09-30,0.000004
2014-10-31,0.000012
2014-11-28,-0.000001
2014-12-31,0.000005
2015-01-30,0.000013
2015-02-27,-0.000021
2015-03-31,-0.000008
2015-04-30,0.000029
2015-05-29,-0.000005
2015-06-30,0.000004
2015-07-31,-0.000037
2015-08-31,0.000027
2015-09-30,-0.000006
2015-10-30,-0.000027
2015-11-30,0.000020
2015-12-31,0.000103
2016-01-29,0.000037
2016-02-29,0.000205
2016-03-31,0.000190
2016-04-29,0.000051
2016-05-31,0.000115
2016-06-30,0.000188
2016-07-29,0.000171
2016-08-31,0.000165
2016-09-30,0.000219
2016-10-31,0.000168
2016-11-30,0.000136
2016-12-30,0.000239
